Character,Name,Category
!,Exclamation Mark,Standard 0-255 (UTF-8) Character Set
"""",Quotation Mark,Standard 0-255 (UTF-8) Character Set
#,Number Sign,Standard 0-255 (UTF-8) Character Set
$,Dollar Sign,Standard 0-255 (UTF-8) Character Set
%,Percent Sign,Standard 0-255 (UTF-8) Character Set
&,Ampersand,Standard 0-255 (UTF-8) Character Set
',Apostrophe,Standard 0-255 (UTF-8) Character Set
(,Left Parenthesis,Standard 0-255 (UTF-8) Character Set
),Right Parenthesis,Standard 0-255 (UTF-8) Character Set
*,Asterisk,Standard 0-255 (UTF-8) Character Set
+,Plus Sign,Standard 0-255 (UTF-8) Character Set
",",Comma,Standard 0-255 (UTF-8) Character Set
-,Hyphen-Minus,Standard 0-255 (UTF-8) Character Set
.,Full Stop,Standard 0-255 (UTF-8) Character Set
/,Solidus,Standard 0-255 (UTF-8) Character Set
0,Digit Zero,Standard 0-255 (UTF-8) Character Set
1,Digit One,Standard 0-255 (UTF-8) Character Set
2,Digit Two,Standard 0-255 (UTF-8) Character Set
3,Digit Three,Standard 0-255 (UTF-8) Character Set
4,Digit Four,Standard 0-255 (UTF-8) Character Set
5,Digit Five,Standard 0-255 (UTF-8) Character Set
6,Digit Six,Standard 0-255 (UTF-8) Character Set
7,Digit Seven,Standard 0-255 (UTF-8) Character Set
8,Digit Eight,Standard 0-255 (UTF-8) Character Set
9,Digit Nine,Standard 0-255 (UTF-8) Character Set
:,Colon,Standard 0-255 (UTF-8) Character Set
;,Semicolon,Standard 0-255 (UTF-8) Character Set
<,Less-Than Sign,Standard 0-255 (UTF-8) Character Set
=,Equals Sign,Standard 0-255 (UTF-8) Character Set
>,Greater-Than Sign,Standard 0-255 (UTF-8) Character Set
?,Question Mark,Standard 0-255 (UTF-8) Character Set
@,Commercial At,Standard 0-255 (UTF-8) Character Set
A,Latin Capital Letter A,Standard 0-255 (UTF-8) Character Set
B,Latin Capital Letter B,Standard 0-255 (UTF-8) Character Set
C,Latin Capital Letter C,Standard 0-255 (UTF-8) Character Set
D,Latin Capital Letter D,Standard 0-255 (UTF-8) Character Set
E,Latin Capital Letter E,Standard 0-255 (UTF-8) Character Set
F,Latin Capital Letter F,Standard 0-255 (UTF-8) Character Set
G,Latin Capital Letter G,Standard 0-255 (UTF-8) Character Set
H,Latin Capital Letter H,Standard 0-255 (UTF-8) Character Set
I,Latin Capital Letter I,Standard 0-255 (UTF-8) Character Set
J,Latin Capital Letter J,Standard 0-255 (UTF-8) Character Set
K,Latin Capital Letter K,Standard 0-255 (UTF-8) Character Set
L,Latin Capital Letter L,Standard 0-255 (UTF-8) Character Set
M,Latin Capital Letter M,Standard 0-255 (UTF-8) Character Set
N,Latin Capital Letter N,Standard 0-255 (UTF-8) Character Set
O,Latin Capital Letter O,Standard 0-255 (UTF-8) Character Set
P,Latin Capital Letter P,Standard 0-255 (UTF-8) Character Set
Q,Latin Capital Letter Q,Standard 0-255 (UTF-8) Character Set
R,Latin Capital Letter R,Standard 0-255 (UTF-8) Character Set
S,Latin Capital Letter S,Standard 0-255 (UTF-8) Character Set
T,Latin Capital Letter T,Standard 0-255 (UTF-8) Character Set
U,Latin Capital Letter U,Standard 0-255 (UTF-8) Character Set
V,Latin Capital Letter V,Standard 0-255 (UTF-8) Character Set
W,Latin Capital Letter W,Standard 0-255 (UTF-8) Character Set
X,Latin Capital Letter X,Standard 0-255 (UTF-8) Character Set
Y,Latin Capital Letter Y,Standard 0-255 (UTF-8) Character Set
Z,Latin Capital Letter Z,Standard 0-255 (UTF-8) Character Set
[,Left Square Bracket,Standard 0-255 (UTF-8) Character Set
\,Reverse Solidus,Standard 0-255 (UTF-8) Character Set
],Right Square Bracket,Standard 0-255 (UTF-8) Character Set
^,Circumflex Accent,Standard 0-255 (UTF-8) Character Set
_,Low Line,Standard 0-255 (UTF-8) Character Set
`,Grave Accent,Standard 0-255 (UTF-8) Character Set
a,Latin Small Letter A,Standard 0-255 (UTF-8) Character Set
b,Latin Small Letter B,Standard 0-255 (UTF-8) Character Set
c,Latin Small Letter C,Standard 0-255 (UTF-8) Character Set
d,Latin Small Letter D,Standard 0-255 (UTF-8) Character Set
e,Latin Small Letter E,Standard 0-255 (UTF-8) Character Set
f,Latin Small Letter F,Standard 0-255 (UTF-8) Character Set
g,Latin Small Letter G,Standard 0-255 (UTF-8) Character Set
h,Latin Small Letter H,Standard 0-255 (UTF-8) Character Set
i,Latin Small Letter I,Standard 0-255 (UTF-8) Character Set
j,Latin Small Letter J,Standard 0-255 (UTF-8) Character Set
k,Latin Small Letter K,Standard 0-255 (UTF-8) Character Set
l,Latin Small Letter L,Standard 0-255 (UTF-8) Character Set
m,Latin Small Letter M,Standard 0-255 (UTF-8) Character Set
n,Latin Small Letter N,Standard 0-255 (UTF-8) Character Set
o,Latin Small Letter O,Standard 0-255 (UTF-8) Character Set
p,Latin Small Letter P,Standard 0-255 (UTF-8) Character Set
q,Latin Small Letter Q,Standard 0-255 (UTF-8) Character Set
r,Latin Small Letter R,Standard 0-255 (UTF-8) Character Set
s,Latin Small Letter S,Standard 0-255 (UTF-8) Character Set
t,Latin Small Letter T,Standard 0-255 (UTF-8) Character Set
u,Latin Small Letter U,Standard 0-255 (UTF-8) Character Set
v,Latin Small Letter V,Standard 0-255 (UTF-8) Character Set
w,Latin Small Letter W,Standard 0-255 (UTF-8) Character Set
x,Latin Small Letter X,Standard 0-255 (UTF-8) Character Set
y,Latin Small Letter Y,Standard 0-255 (UTF-8) Character Set
z,Latin Small Letter Z,Standard 0-255 (UTF-8) Character Set
{,Left Curly Bracket,Standard 0-255 (UTF-8) Character Set
|,Vertical Line,Standard 0-255 (UTF-8) Character Set
